Date,Actual,HW_Forecast
2025-07-01,1522.320068359375,1495.1657274336262
2025-07-02,1512.75830078125,1495.700839405244
2025-07-03,1511.76220703125,1496.2359513768622
2025-07-04,1521.2244873046875,1496.77106334848
2025-07-07,1535.367919921875,1497.3061753200982
2025-07-08,1531.4833984375,1497.841287291716
2025-07-09,1512.9573974609375,1498.3763992633342
2025-07-10,1511.16455078125,1498.911511234952
2025-07-11,1489.2520751953125,1499.4466232065702
2025-07-14,1477.7977294921875,1499.981735178188
2025-07-15,1479.4910888671875,1500.5168471498062
2025-07-16,1479.690185546875,1501.051959121424
2025-07-17,1470.52685546875,1501.5870710930421
2025-07-18,1470.12841796875,1502.12218306466
2025-07-21,1422.9169921875,1502.6572950362781
2025-07-22,1407.179931640625,1503.192407007896
2025-07-23,1418.932861328125,1503.7275189795141
2025-07-24,1397.3192138671875,1504.262630951132
2025-07-25,1386.1636962890625,1504.79774292275
2025-07-28,1382.080078125,1505.332854894368
2025-07-29,1411.4627685546875,1505.867966865986
2025-07-30,1404.4906005859375,1506.403078837604
2025-07-31,1384.669677734375,1506.938190809222
2025-08-01,1388.15576171875,1507.47330278084
2025-08-04,1405.885009765625,1508.008414752458
2025-08-05,1386.1636962890625,1508.543526724076
2025-08-06,1387.259521484375,1509.078638695694
2025-08-07,1383.8729248046875,1509.613750667312
2025-08-08,1362.35888671875,1510.14886263893
2025-08-11,1380.6856689453125,1510.683974610548
2025-08-12,1374.9088134765625,1511.219086582166
2025-08-13,1377.0999755859375,1511.754198553784
2025-08-14,1373.800048828125,1512.289310525402
2025-08-18,1381.699951171875,1512.82442249702
2025-08-19,1420.0999755859375,1513.359534468638
2025-08-20,1413.0,1513.8946464402559
2025-08-21,1424.800048828125,1514.429758411874
2025-08-22,1409.199951171875,1514.9648703834919
2025-08-25,1412.5999755859375,1515.49998235511
2025-08-26,1384.9000244140625,1516.0350943267279
2025-08-28,1385.9000244140625,1516.570206298346
2025-08-29,1357.199951171875,1517.1053182699638
2025-09-01,1353.9000244140625,1517.640430241582
2025-09-02,1366.5,1518.1755422131998
2025-09-03,1372.5999755859375,1518.710654184818
2025-09-04,1359.300048828125,1519.2457661564358
2025-09-05,1375.0,1519.780878128054
2025-09-08,1378.5,1520.3159900996718
2025-09-09,1376.199951171875,1520.85110207129
2025-09-10,1377.0,1521.3862140429078
2025-09-11,1383.300048828125,1521.921326014526
2025-09-12,1395.0,1522.4564379861438
2025-09-15,1399.300048828125,1522.991549957762
2025-09-16,1405.300048828125,1523.5266619293798
2025-09-17,1413.800048828125,1524.0617739009979
2025-09-18,1415.0,1524.596885872616
2025-09-19,1407.4000244140625,1525.1319978442339
2025-09-22,1390.5999755859375,1525.667109815852
2025-09-23,1389.800048828125,1526.2022217874699
2025-09-24,1383.0,1526.737333759088
2025-09-25,1372.4000244140625,1527.2724457307058
2025-09-26,1377.5999755859375,1527.807557702324
2025-09-29,1372.800048828125,1528.3426696739418
2025-09-30,1364.0,1528.87778164556
2025-10-01,1368.699951171875,1529.4128936171778
2025-10-03,1363.4000244140625,1529.948005588796
2025-10-06,1375.0,1530.4831175604138
2025-10-07,1384.800048828125,1531.018229532032
2025-10-08,1367.4000244140625,1531.5533415036498
2025-10-09,1377.800048828125,1532.088453475268
2025-10-10,1381.699951171875,1532.6235654468858
2025-10-13,1375.0,1533.1586774185039
2025-10-14,1375.9000244140625,1533.6937893901218
2025-10-15,1374.300048828125,1534.2289013617399
2025-10-16,1398.300048828125,1534.7640133333578
2025-10-17,1416.800048828125,1535.2991253049759
2025-10-20,1466.800048828125,1535.8342372765937
2025-10-21,1465.199951171875,1536.3693492482118
2025-10-23,1448.4000244140625,1536.9044612198297
2025-10-24,1451.5999755859375,1537.4395731914478
2025-10-27,1484.0999755859375,1537.9746851630657
2025-10-28,1486.9000244140625,1538.5097971346838
2025-10-29,1504.199951171875,1539.0449091063017
2025-10-30,1488.5,1539.5800210779198
2025-10-31,1486.4000244140625,1540.1151330495377
2025-11-03,1484.699951171875,1540.6502450211558
2025-11-04,1473.0999755859375,1541.1853569927737
2025-11-06,1496.0999755859375,1541.7204689643918
2025-11-07,1478.0,1542.2555809360097
2025-11-10,1489.300048828125,1542.7906929076278
2025-11-11,1493.4000244140625,1543.3258048792457
2025-11-12,1511.5,1543.8609168508638
2025-11-13,1510.9000244140625,1544.3960288224816
2025-11-14,1518.9000244140625,1544.9311407940997
2025-11-17,1518.300048828125,1545.4662527657176
2025-11-18,1519.4000244140625,1546.0013647373357
2025-11-19,1518.9000244140625,1546.5364767089536
2025-11-20,1549.0999755859375,1547.0715886805717
2025-11-21,1546.5999755859375,1547.6067006521896
2025-11-24,1535.9000244140625,1548.1418126238077
2025-11-25,1539.699951171875,1548.6769245954256
2025-11-26,1569.9000244140625,1549.2120365670437
2025-11-27,1563.4000244140625,1549.7471485386616
2025-11-28,1567.5,1550.2822605102797
2025-12-01,1566.0999755859375,1550.8173724818976
2025-12-02,1546.300048828125,1551.3524844535157
2025-12-03,1538.800048828125,1551.8875964251336
2025-12-04,1535.5999755859375,1552.4227083967517
2025-12-05,1540.5999755859375,1552.9578203683695
2025-12-08,1543.0,1553.4929323399876
2025-12-09,1529.4000244140625,1554.0280443116055
2025-12-10,1536.9000244140625,1554.5631562832236
2025-12-11,1545.0,1555.0982682548415
2025-12-12,1556.5,1555.6333802264596
2025-12-15,1556.199951171875,1556.1684921980777
2025-12-16,1542.300048828125,1556.7036041696956
2025-12-17,1544.4000244140625,1557.2387161413137
2025-12-18,1544.4000244140625,1557.7738281129316
2025-12-19,1565.0999755859375,1558.3089400845497
2025-12-22,1575.4000244140625,1558.8440520561676
2025-12-23,1570.699951171875,1559.3791640277857
2025-12-24,1558.199951171875,1559.9142759994036
2025-12-26,1559.199951171875,1560.4493879710217
2025-12-29,1545.5999755859375,1560.9844999426396
2025-12-30,1539.800048828125,1561.5196119142577
